ID_bold,ZOTU,Phylum_bold,Class_bold,Order_bold,Family_bold,Genus_bold,Species_bold,Notes
Orthoptera,Zotu164,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu190,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu263,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu285,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu306,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu313,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu413,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu510,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu644,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu762,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu819,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu878,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu880,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu967,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu970,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu1034,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu1057,Arthropoda,Insecta,Orthoptera,,,,
Orthoptera,Zotu1123,Arthropoda,Insecta,Orthoptera,,,,
Pantala flavescens,Zotu9,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,
Pantala flavescens,Zotu17,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,
Pantala flavescens,Zotu23,Arthropoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens,
Penicillium citrinum,Zotu152,,,,,,,non-diet
Penicillium citrinum,Zotu849,,,,,,,non-diet
Periplaneta australasiae,Zotu70,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta australasiae,
Periplaneta australasiae,Zotu711,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta australasiae,
Pheidole megacephala,Zotu596,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,
Pheidole megacephala,Zotu937,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,
Phytophthora nicotianae,Zotu827,,,,,,,non-diet
Piletocera signiferalis,Zotu474,Arthropoda,Insecta,Lepidoptera,Crambidae,Piletocera,Piletocera signiferalis,
Platnickina mneon,Zotu21,Arthropoda,Arachnida,Araneae,Theridiidae,Platnickina,Platnickina mneon,
Ponera swezeyi,Zotu947,Arthropoda,Insecta,Hymenoptera,Formicidae,Ponera,Ponera swezeyi,
Proteobacteria Arachnida ,Zotu14,Arthropoda,Arachnida,,,,,unclear
Psocodea,Zotu53,Arthropoda,Insecta,Psocodea,,,,
Psocodea,Zotu63,Arthropoda,Insecta,Psocodea,,,,
Psocodea,Zotu118,Arthropoda,Insecta,Psocodea,,,,
Psocodea,Zotu443,Arthropoda,Insecta,Psocodea,,,,
Psocodea,Zotu494,Arthropoda,Insecta,Psocodea,,,,
