Plot_Id;Agromyzidae;Anthomyiidae;Aphididae;Apidae;Braconidae;Calliphoridae;Canacidae;Cecidomyiidae;Ceratopogonidae;Chironomidae;Collembola;Crambidae;Culicidae;Empididae;Enchytraeidae;Erebidae;Eulophidae;Fanniidae;Geometridae;Heleomyzidae;Hemiptera;Ichneumonidae;Limoniidae;Liposcelidae;Lycaenidae;Lygaeidae;Mesostigmata;Muscidae;Mycetophilidae;Noctuidae;Nymphalidae;Oribatida;other Araneae;Phoridae;Pieridae;Piophilidae;Prostigmata;Pteromalidae;Scathophagidae;Sciaridae;Syrphidae;Tachinidae;Tenthredinidae;Thomisidae;Tipulidae;Tortricidae;Trichoceridae
K_t1;0;0.333333333;0.083333333;0;0;0;0;0.083333333;0.75;0.916666667;0.166666667;0;0.5;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0.083333333;0;0.416666667;0;0;0.166666667;0.5;0;0;0.166666667;0;0;0.5;0;0;0;0;0.166666667;0;0
K_t2;0;0.142857143;0;0;0;0;0;0;0.714285714;0.857142857;0.142857143;0;0.428571429;0.142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857143;0.142857143;0;0;0.285714286;0.142857143;0;0;0;0;0;0.428571429;0;0;0;0;0;0;0
K_t3;0;0.25;0;0;0;0;0;0;1;1;0;0;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0.25;0;0;0;0;0;0.75;0;0;0;0;0;0;0
K_t4;0;0.214285714;0.071428571;0;0;0;0;0;0.5;1;0.071428571;0;0.5;0.357142857;0;0;0;0;0;0;0;0;0;0;0;0;0;0.214285714;0.214285714;0.142857143;0;0;0.142857143;0.428571429;0;0;0;0;0;0.785714286;0;0;0;0;0.214285714;0;0
L_t1;0;0.125;0;0;0;0;0;0.125;1;1;0;0;0.625;0.5;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0.25;0.25;0;0.375;0.375;0;0;0.25;0;0;0.375;0.375;0;0;0;0;0;0.125
L_t2;0;0.142857143;0;0;0;0;0;0;0.857142857;1;0.285714286;0;0.785714286;0.5;0;0.071428571;0;0;0;0;0;0.142857143;0;0;0;0;0;0;0.142857143;0.214285714;0;0;0.285714286;0.214285714;0;0;0.285714286;0;0;0.571428571;0.142857143;0;0.071428571;0;0.214285714;0;0
L_t3;0;0.083333333;0.166666667;0;0;0;0;0.083333333;0.916666667;1;0.333333333;0;0.833333333;0.333333333;0;0.083333333;0;0;0;0;0;0.083333333;0;0;0;0;0;0.083333333;0.083333333;0.25;0;0;0.166666667;0.416666667;0;0;0.333333333;0;0;0.333333333;0.083333333;0;0;0;0;0;0
L_t4;0;0.25;0.166666667;0;0;0;0;0;0.75;1;0.166666667;0;0.666666667;0.666666667;0;0;0;0;0;0;0;0.083333333;0;0;0;0;0;0.166666667;0.166666667;0.25;0;0;0.083333333;0.5;0;0;0.083333333;0;0;0.833333333;0.166666667;0;0;0;0;0;0
LX_t1;0;0;0;0;0;0;0;0;0.5;1;0;0;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0
LX_t2;0;0.357142857;0.071428571;0;0;0;0;0.214285714;0.642857143;0.928571429;0;0;0.428571429;0.357142857;0;0;0;0;0;0;0;0;0;0;0;0;0;0.357142857;0.357142857;0.071428571;0;0;0.142857143;0.357142857;0;0;0.071428571;0;0;0.857142857;0.285714286;0.071428571;0;0;0.071428571;0;0
LX_t3;0;0.428571429;0.285714286;0;0;0;0;0.285714286;0.571428571;0.857142857;0.142857143;0;0.428571429;0.714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0.142857143;0.142857143;0.285714286;0;0;0.285714286;0.142857143;0;0;0.285714286;0;0;0.857142857;0.571428571;0;0;0;0;0;0
LX_t4;0;0.583333333;0.25;0;0;0;0;0.083333333;0.916666667;1;0.083333333;0;0.5;0.583333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0;0;0;0.083333333;0.166666667;0;0;0.166666667;0;0;0.916666667;0.416666667;0.083333333;0;0;0.25;0;0
P_t1;0.1;0.2;0.1;0;0;0;0;0.1;0.4;0.9;0.1;0;0.6;0.6;0;0;0;0;0;0;0;0.1;0;0.1;0;0;0;0;0.2;0.3;0.2;0;0.5;0.2;0;0;0.3;0;0;0.6;0;0;0;0;0.1;0;0
P_t2;0;0.428571429;0.095238095;0;0;0;0;0;0.19047619;0.952380952;0;0.047619048;0.476190476;0.666666667;0;0;0;0;0;0;0;0.047619048;0;0;0;0;0;0.142857143;0.047619048;0.19047619;0.095238095;0;0.333333333;0.333333333;0;0;0.238095238;0;0;0.80952381;0;0.047619048;0.047619048;0.047619048;0.047619048;0.095238095;0
P_t3;0;0;0;0;0;0;0;0;0.666666667;0.833333333;0;0;0.333333333;0.666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666667;0.166666667;0.166666667;0;0.166666667;0.166666667;0;0;0;0;0;0.833333333;0;0;0;0;0;0;0
P_t4;0;0.111111111;0;0;0;0;0;0.111111111;0.444444444;1;0;0;0.333333333;0.888888889;0;0;0;0;0;0;0;0.111111111;0;0;0;0;0;0.222222222;0.111111111;0.222222222;0;0;0.111111111;0.111111111;0;0;0.111111111;0;0;0.888888889;0;0;0;0;0;0;0
R_t1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
R_t2;0.095238095;0.142857143;0.238095238;0;0.047619048;0;0;0.047619048;0.285714286;1;0;0;0.714285714;0.476190476;0;0;0;0;0;0;0;0.047619048;0;0;0;0.095238095;0;0.19047619;0.142857143;0.238095238;0.047619048;0;0.666666667;0.19047619;0;0;0.619047619;0;0;0.476190476;0.095238095;0;0.047619048;0;0;0.047619048;0
R_t3;0;0.058823529;0.294117647;0;0;0;0;0.117647059;0.588235294;1;0.117647059;0;0.647058824;0.411764706;0;0;0;0;0.117647059;0;0;0;0;0;0;0.058823529;0;0.235294118;0;0.352941176;0.117647059;0.058823529;0.529411765;0.411764706;0;0;0;0.058823529;0;0.647058824;0;0.058823529;0;0;0.058823529;0.058823529;0
R_t4;0;0.1;0.4;0;0;0;0;0.1;0.5;1;0;0;0.8;0.7;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0.4;0.2;0.3;0.1;0;0.1;0.1;0;0;0.1;0;0;0.9;0.1;0.1;0;0;0.2;0.1;0
S_t1;0;0.166666667;0.083333333;0;0;0;0;0;0.25;1;0;0;0.666666667;0.5;0;0;0;0;0;0;0;0.166666667;0;0;0;0;0;0.416666667;0.083333333;0.166666667;0;0;0.416666667;0.166666667;0;0;0;0;0;0.25;0;0;0;0;0;0.166666667;0
S_t2;0;0.15;0.35;0;0;0;0;0.05;0.55;1;0;0;0.6;0.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0.1;0.2;0.05;0;0.3;0.1;0;0;0.1;0;0;0.65;0;0;0;0;0;0;0
S_t3;0;0.166666667;0.333333333;0;0;0;0;0.333333333;0.5;0.833333333;0;0;0.5;0.666666667;0;0;0;0;0;0;0;0;0;0;0.166666667;0;0;0;0;0.166666667;0;0;0.5;0.166666667;0;0;0.333333333;0;0;0.666666667;0;0;0;0;0;0;0
S_t4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
