Morphospecies,Order,Present in Vials,Species_Stage_Name,Stage_Name,Group,Specialist,Standard_Sorting_Name,Barcode_Status,Authority,Phylum,Subphylum,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,specific_epithet,subspecies,Body_Length_Mean_mm,Body_Mass_Mean_mg,Body_Mass_SD_mg,Body_Mass_N,Body_Mass_Source,Body_Mass_Proxy,Body_Mass_Notes
Barringtonia_asiatica,27,#N/A,Barringtonia_asiatica_Stem,Stem,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Barringtonia_asiatica,,,Barringtonia_asiatica_Seedling,Seedling,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Guettarda_speciosa,28,#N/A,Guettarda_speciosa_Adult,Adult,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Guettarda_speciosa,28,#N/A,Guettarda_speciosa_Flower,Flower,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Guettarda_speciosa,28,#N/A,Guettarda_speciosa_Leaves,Leaves,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Guettarda_speciosa,28,#N/A,Guettarda_speciosa_Nectar,Nectar,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Guettarda_speciosa,28,#N/A,Guettarda_speciosa_Pollen,Pollen,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Guettarda_speciosa,28,#N/A,Guettarda_speciosa_Root,Root,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Guettarda_speciosa,28,#N/A,Guettarda_speciosa_Seed,Seed,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Guettarda_speciosa,28,#N/A,Guettarda_speciosa_Stem,Stem,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Guettarda_speciosa,,,Guettarda_speciosa_Seedling,Seedling,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Ochrosia_oppositifolia,29,#N/A,Ochrosia_oppositifolia_Adult,Adult,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Ochrosia_oppositifolia,29,#N/A,Ochrosia_oppositifolia_Flower,Flower,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Ochrosia_oppositifolia,29,#N/A,Ochrosia_oppositifolia_Leaves,Leaves,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Ochrosia_oppositifolia,29,#N/A,Ochrosia_oppositifolia_Nectar,Nectar,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Ochrosia_oppositifolia,29,#N/A,Ochrosia_oppositifolia_Pollen,Pollen,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Ochrosia_oppositifolia,29,#N/A,Ochrosia_oppositifolia_Root,Root,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Ochrosia_oppositifolia,29,#N/A,Ochrosia_oppositifolia_Seed,Seed,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Ochrosia_oppositifolia,29,#N/A,Ochrosia_oppositifolia_Stem,Stem,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Calophyllum_inophyllum,30,#N/A,Calophyllum_inophyllum_Adult,Adult,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Calophyllum_inophyllum,30,#N/A,Calophyllum_inophyllum_Flower,Flower,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Calophyllum_inophyllum,30,#N/A,Calophyllum_inophyllum_Leaves,Leaves,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Calophyllum_inophyllum,30,#N/A,Calophyllum_inophyllum_Nectar,Nectar,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Calophyllum_inophyllum,30,#N/A,Calophyllum_inophyllum_Pollen,Pollen,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Calophyllum_inophyllum,30,#N/A,Calophyllum_inophyllum_Root,Root,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Calophyllum_inophyllum,30,#N/A,Calophyllum_inophyllum_Seed,Seed,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Calophyllum_inophyllum,30,#N/A,Calophyllum_inophyllum_Stem,Stem,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Triumfetta_procumbens,31,#N/A,Triumfetta_procumbens_Adult,Adult,Vine,,,,,,,,,,,,,,,,,,,,,,,,,
Triumfetta_procumbens,31,#N/A,Triumfetta_procumbens_Flower,Flower,Vine,,,,,,,,,,,,,,,,,,,,,,,,,
Triumfetta_procumbens,31,#N/A,Triumfetta_procumbens_Leaves,Leaves,Vine,,,,,,,,,,,,,,,,,,,,,,,,,
Triumfetta_procumbens,31,#N/A,Triumfetta_procumbens_Nectar,Nectar,Vine,,,,,,,,,,,,,,,,,,,,,,,,,
Triumfetta_procumbens,31,#N/A,Triumfetta_procumbens_Pollen,Pollen,Vine,,,,,,,,,,,,,,,,,,,,,,,,,
Triumfetta_procumbens,31,#N/A,Triumfetta_procumbens_Root,Root,Vine,,,,,,,,,,,,,,,,,,,,,,,,,
Triumfetta_procumbens,31,#N/A,Triumfetta_procumbens_Seed,Seed,Vine,,,,,,,,,,,,,,,,,,,,,,,,,
Coccoloba_uvifera,32,#N/A,Coccoloba_uvifera_Adult,Adult,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Coccoloba_uvifera,32,#N/A,Coccoloba_uvifera_Flower,Flower,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Coccoloba_uvifera,32,#N/A,Coccoloba_uvifera_Leaves,Leaves,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Coccoloba_uvifera,32,#N/A,Coccoloba_uvifera_Nectar,Nectar,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Coccoloba_uvifera,32,#N/A,Coccoloba_uvifera_Pollen,Pollen,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Coccoloba_uvifera,32,#N/A,Coccoloba_uvifera_Root,Root,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Coccoloba_uvifera,32,#N/A,Coccoloba_uvifera_Seed,Seed,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Coccoloba_uvifera,32,#N/A,Coccoloba_uvifera_Stem,Stem,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus_spp.,33,#N/A,Cyperus_spp._Adult,Adult,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus_spp.,33,#N/A,Cyperus_spp._Flower,Flower,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus_spp.,33,#N/A,Cyperus_spp._Leaves,Leaves,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus_spp.,33,#N/A,Cyperus_spp._Nectar,Nectar,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus_spp.,33,#N/A,Cyperus_spp._Pollen,Pollen,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus_spp.,33,#N/A,Cyperus_spp._Root,Root,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus_spp.,33,#N/A,Cyperus_spp._Seed,Seed,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Fimbristylis_atollensis,34,#N/A,Fimbristylis_atollensis_Adult,Adult,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Fimbristylis_atollensis,34,#N/A,Fimbristylis_atollensis_Flower,Flower,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Fimbristylis_atollensis,34,#N/A,Fimbristylis_atollensis_Leaves,Leaves,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Fimbristylis_atollensis,34,#N/A,Fimbristylis_atollensis_Nectar,Nectar,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Fimbristylis_atollensis,34,#N/A,Fimbristylis_atollensis_Pollen,Pollen,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Fimbristylis_atollensis,34,#N/A,Fimbristylis_atollensis_Root,Root,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Fimbristylis_atollensis,34,#N/A,Fimbristylis_atollensis_Seed,Seed,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Lepturus_repens,35,#N/A,Lepturus_repens_Adult,Adult,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Lepturus_repens,35,#N/A,Lepturus_repens_Flower,Flower,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Lepturus_repens,35,#N/A,Lepturus_repens_Leaves,Leaves,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Lepturus_repens,35,#N/A,Lepturus_repens_Nectar,Nectar,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Lepturus_repens,35,#N/A,Lepturus_repens_Pollen,Pollen,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Lepturus_repens,35,#N/A,Lepturus_repens_Root,Root,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Lepturus_repens,35,#N/A,Lepturus_repens_Seed,Seed,Grass,,,,,,,,,,,,,,,,,,,,,,,,,
Laportea_ruderalis,36,#N/A,Laportea_ruderalis_Adult,Adult,Herb,,,,,,,,,,,,,,,,,,,,,,,,,
Laportea_ruderalis,36,#N/A,Laportea_ruderalis_Flower,Flower,Herb,,,,,,,,,,,,,,,,,,,,,,,,,
Laportea_ruderalis,36,#N/A,Laportea_ruderalis_Leaves,Leaves,Herb,,,,,,,,,,,,,,,,,,,,,,,,,
Laportea_ruderalis,36,#N/A,Laportea_ruderalis_Nectar,Nectar,Herb,,,,,,,,,,,,,,,,,,,,,,,,,
Laportea_ruderalis,36,#N/A,Laportea_ruderalis_Pollen,Pollen,Herb,,,,,,,,,,,,,,,,,,,,,,,,,
Laportea_ruderalis,36,#N/A,Laportea_ruderalis_Root,Root,Herb,,,,,,,,,,,,,,,,,,,,,,,,,
Laportea_ruderalis,36,#N/A,Laportea_ruderalis_Seed,Seed,Herb,,,,,,,,,,,,,,,,,,,,,,,,,
Laportea_ruderalis,36,#N/A,Laportea_ruderalis_Stem,Stem,Herb,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium_nidus,37,#N/A,Asplenium_nidus_Adult,Adult,Fern,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium_nidus,37,#N/A,Asplenium_nidus_Flower,Flower,Fern,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium_nidus,37,#N/A,Asplenium_nidus_Leaves,Fronds,Fern,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium_nidus,37,#N/A,Asplenium_nidus_Nectar,Nectar,Fern,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium_nidus,37,#N/A,Asplenium_nidus_Pollen,Pollen,Fern,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium_nidus,37,#N/A,Asplenium_nidus_Root,Root,Fern,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium_nidus,37,#N/A,Asplenium_nidus_Seed,Seed,Fern,,,,,,,,,,,,,,,,,,,,,,,,,
Neophrolepis_hirsutula,38,#N/A,Neophrolepis_hirsutula_Adult,Adult,Fern,,,,,,,,,,,,,,,,,,,,,,,,,
Neophrolepis_hirsutula,38,#N/A,Neophrolepis_hirsutula_Flower,Flower,Fern,,,,,,,,,,,,,,,,,,,,,,,,,
Neophrolepis_hirsutula,38,#N/A,Neophrolepis_hirsutula_Leaves,Fronds,Fern,,,,,,,,,,,,,,,,,,,,,,,,,
Neophrolepis_hirsutula,38,#N/A,Neophrolepis_hirsutula_Nectar,Nectar,Fern,,,,,,,,,,,,,,,,,,,,,,,,,
Neophrolepis_hirsutula,38,#N/A,Neophrolepis_hirsutula_Pollen,Pollen,Fern,,,,,,,,,,,,,,,,,,,,,,,,,
