web.id,observation,site,observer,spider.species.corr,spider.family,web.type,web.size,prey.class,prey.order,prey.family1,prey_family,prey.corr,prey.code,freq,mean.bs,sd.bs,prey.size,species,csv.bs,,,,,,,,,,,,,,,,,,,,,,
NA8,1,Jatun.Sacha,Jen.Guevara,Aglaoctenus ,Lycosidae,Sheet_Tangle,4739.6,Insecta,hymenoptera,halictidae,Halictidae,Halictidae,19,1,6,NA,1.942514522,sweat_bee,6,,,,,,,,,,,,,,,,,,,,,,
NA17,1,Jatun.Sacha,Jen.Guevara,A.eximius,Theridiidae,Sheet_Tangle,39474.5,Insecta,hemiptera,hemiptera,,Hemiptera,20,1,5,NA,2.005538852,NA,5,,,,,,,,,,,,,,,,,,,,,,
NA18,1,Jatun.Sacha,Jen.Guevara,A.eximius,Theridiidae,Sheet_Tangle,39474.5,Insecta,hemiptera,hemiptera,,Hemiptera,20,1,5,NA,2.005538852,NA,5,,,,,,,,,,,,,,,,,,,,,,
NA7,1,Jatun.Sacha,Jen.Guevara,Eriophora.sp,Araneidae,Orb,530,Insecta,coleoptera,histeridae,Histeridae,Histeridae,21,1,11,NA,25.11504525,NA,11,,,,,,,,,,,,,,,,,,,,,,
NA13,1,Jatun.Sacha,Jen.Guevara,Eriophora.sp,Araneidae,Orb,530,Insecta,blattodea,termite,,Isoptera,22,1,7,NA,4.064788772,NA,7,,,,,,,,,,,,,,,,,,,,,,
NA14,4,Jatun.Sacha,Jen.Guevara,Eriophora.sp,Araneidae,Orb,530,Insecta,blattodea,termite,,Isoptera,22,1,8,NA,5.4365207,NA,8,,,,,,,,,,,,,,,,,,,,,,
NA15,2,Jatun.Sacha,Jen.Guevara,Cyclosa.sp,Araneidae,Orb,47.90928797,Insecta,blattodea,termite,,Isoptera,22,1,4,NA,1.620688857,NA,4,,,,,,,,,,,,,,,,,,,,,,
Anel.exi.2,2,Jatun.Sacha,Mark.Robertson,A.eximius,Theridiidae,Sheet_Tangle,39474.5,Insecta,coleoptera,lampiridae,Lampyridae,Lampyridae,23,1,10,NA,19.24469193,NA,10,,,,,,,,,,,,,,,,,,,,,,
NA3,2,Jatun.Sacha,Jen.Guevara,Aglaoctenus ,Lycosidae,Sheet_Tangle,4739.6,Insecta,coleoptera,leiodidae,Leiodidae,Leiodidae,24,1,3,NA,1.867606154,fungus_carabidae,3,,,,,,,,,,,,,,,,,,,,,,
NA13,2,Jatun.Sacha,Jen.Guevara,Eriophora.sp,Araneidae,Orb,530,Insecta,lepidoptera,lepidoptera,,Lepidoptera,25,1,20,NA,65.56455822,NA,20,,,,,,,,,,,,,,,,,,,,,,
NA12,1,Jatun.Sacha,Jen.Guevara,Aglaoctenus ,Lycosidae,Sheet_Tangle,4739.6,Insecta,lepidoptera,moth,,Lepidoptera,25,1,12,NA,12.95953848,NA,12,,,,,,,,,,,,,,,,,,,,,,
Aran.R28,1,Jatun.Sacha,Jen.Guevara,Eriophora.sp,Araneidae,Orb,530,Insecta,hemiptera,membracidae,Membracidae,Membracidae,26,1,11,NA,15.4719016,NA,11,,,,,,,,,,,,,,,,,,,,,,
NA10,1,Jatun.Sacha,Jen.Guevara,Other.Chrysso.sp,Theridiidae,Tangle,12,Insecta,hemiptera,membracidae,Membracidae,Membracidae,26,1,6,NA,2.9600616,NA,6,,,,,,,,,,,,,,,,,,,,,,
NA17,1,Jatun.Sacha,Mark.Robertson,A.eximius,Theridiidae,Sheet_Tangle,39474.5,Arachnida,araneae,araneae,Araneidae,Micrathena,27,1,5,NA,3.759873371,NA,NA,,,,,,,,,,,8.571892,0.504367745,30.022057,0,0,0,1.736602041,0.027246535,0.46041755,32.22922847,1.896358853,112.8791327
Leu72,1,Jatun.Sacha,Mark.Robertson,Leucauge.sp,Tetragnathidae,Orb,667.5884389,Insecta,anisoptera,dragonfly,,Odonata,28,2,NA,NA,65.1,NA,NA,,,,,,,,,,,,,,,,,,,,,,
NA20,1,Jatun.Sacha,Jen.Guevara,A.eximius,Theridiidae,Sheet_Tangle,39474.5,Insecta,hemiptera,reduviidae,Reduviidae,Reduviidae,29,1,8,NA,6.081616175,NA,8,,,,,,,,,,,,,,,,,,,,,,
Aran.127,1,Jatun.Sacha,Jen.Guevara,Eriophora.sp,Araneidae,Orb,530,Insecta,coleoptera,scarabeidae,Scarabaeidae,Scarabaeidae,30,1,0.5,NA,0.665449005,golden_carabidae,0.5,,,,,,,,,,,,,,,,,,,,,,
Aran.82,3,Jatun.Sacha,Mark.Robertson,Eriophora.sp,Araneidae,Orb,530,Insecta,diptera,fly,,Diptera,31,1,2,NA,0.317826793,NA,2,,,,,,,,,,,,,,,,,,,,,,
