"","Order","Family","Genus","Species","Length_mm","Mass_mg","Source","Class"
"2950","Hymenoptera","Formicidae",NA,NA,9.05,18.4,"Sohlstrom et al. 2018",""
"2951","Hymenoptera","Formicidae",NA,NA,4.15,1.06,"Sohlstrom et al. 2018",""
"2952","Hymenoptera","Formicidae",NA,NA,3.16,1.14,"Sohlstrom et al. 2018",""
"2953","Hymenoptera","Formicidae",NA,NA,3.41,0.97,"Sohlstrom et al. 2018",""
"2954","Hymenoptera","Formicidae",NA,NA,2.33,0.25,"Sohlstrom et al. 2018",""
"2955","Hymenoptera","Formicidae",NA,NA,1.37,0.01,"Sohlstrom et al. 2018",""
"2956","Hymenoptera","Formicidae",NA,NA,7.85,8.85,"Sohlstrom et al. 2018",""
"2957","Hymenoptera","Formicidae",NA,NA,8.14,10.43,"Sohlstrom et al. 2018",""
"2958","Hymenoptera","Formicidae",NA,NA,2.14,0.16,"Sohlstrom et al. 2018",""
"2959","Hymenoptera","Formicidae",NA,NA,2.57,0.43,"Sohlstrom et al. 2018",""
