"","sample","unique_ID","pred_ID","Phylum_prey","Class_prey","Order_prey","Family_prey","Genus_prey","Species_prey","ID_level","reads"
"132","CEN11b","Buthus mariefranceae","Geophilomorpha","Arthropoda","Arachnida","Scorpiones","Buthidae","Buthus","Buthus mariefranceae","Species",0
"133","CEN11b","Carapoia sp. DNA100446402","Geophilomorpha","Arthropoda","Arachnida","Araneae","Pholcidae","Carapoia","Carapoia sp. DNA100446402","Species",0
"134","CEN11b","Cardiocondyla minutior","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","Formicidae","Cardiocondyla","Cardiocondyla minutior","Species",0
"135","CEN11b","Cecidomyiidae","Geophilomorpha","Arthropoda","Insecta","Diptera","Cecidomyiidae","","","Family",0
"136","CEN11b","Cephalochrysa","Geophilomorpha","Arthropoda","Insecta","Diptera","Stratiomyidae","Cephalochrysa","","Genus",0
"137","CEN11b","Ceratopogonidae sp. sc","Geophilomorpha","Arthropoda","Insecta","Diptera","Ceratopogonidae","","Ceratopogonidae sp. sc_02724","Species",0
"138","CEN11b","Ceratopogonidae sp. sc","Geophilomorpha","Arthropoda","Insecta","Diptera","Ceratopogonidae","","Ceratopogonidae sp. sc_07781","Species",0
"139","CEN11b","Chloropidae","Geophilomorpha","Arthropoda","Insecta","Diptera","Chloropidae","","","Family",0
"140","CEN11b","Chromadorea","Geophilomorpha","Nematoda","Chromadorea","","","","","Class",0
"141","CEN11b","Coleoptera","Geophilomorpha","Arthropoda","Insecta","Coleoptera","","","","Order",0
"142","CEN11b","Collembola","Geophilomorpha","Arthropoda","Collembola","","","","","Class",0
"143","CEN11b","Conoderus pallipes","Geophilomorpha","Arthropoda","Insecta","Coleoptera","Elateridae","Conoderus","Conoderus pallipes","Species",0
"144","CEN11b","Culex univittatus","Geophilomorpha","Arthropoda","Insecta","Diptera","Culicidae","Culex","Culex univittatus","Species",0
"145","CEN11b","Culicoides sp. OM-2014","Geophilomorpha","Arthropoda","Insecta","Diptera","Ceratopogonidae","Culicoides","Culicoides sp. OM-2014","Species",0
"146","CEN11b","Cytaea cf. sinuata JXZ-2013","Geophilomorpha","Arthropoda","Arachnida","Araneae","Salticidae","Cytaea","Cytaea cf. sinuata JXZ-2013","Species",0
"147","CEN11b","Dactylosternum abdominale","Geophilomorpha","Arthropoda","Insecta","Coleoptera","Hydrophilidae","Dactylosternum","Dactylosternum abdominale","Species",0
"148","CEN11b","Dermatophagoides farinae","Geophilomorpha","Arthropoda","Arachnida","Sarcoptiformes","Pyroglyphidae","Dermatophagoides","Dermatophagoides farinae","Species",0
"149","CEN11b","Diadiplosis donaldi","Geophilomorpha","Arthropoda","Insecta","Diptera","Cecidomyiidae","Diadiplosis","Diadiplosis donaldi","Species",0
"150","CEN11b","Diploptera punctata","Geophilomorpha","Arthropoda","Insecta","Blattodea","Blaberidae","Diploptera","Diploptera punctata","Species",0
"151","CEN11b","Diptera","Geophilomorpha","Arthropoda","Insecta","Diptera","","","","Order",0
"152","CEN11b","Diptera sp. sc","Geophilomorpha","Arthropoda","Insecta","Diptera","","","Diptera sp. sc_00793","Species",0
"153","CEN11b","Echmepteryx madagascariensis","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Lepidopsocidae","Echmepteryx","Echmepteryx madagascariensis","Species",0
"154","CEN11b","Ectobiidae","Geophilomorpha","Arthropoda","Insecta","Blattodea","Ectobiidae","","","Family",0
"155","CEN11b","Ectopsocidae sp. S150708","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Ectopsocidae","","Ectopsocidae sp. S150708","Species",0
"156","CEN11b","Ectopsocus fullawayi","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Ectopsocidae","Ectopsocus","Ectopsocus fullawayi","Species",0
"157","CEN11b","Ectopsocus sp. KY212","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Ectopsocidae","Ectopsocus","Ectopsocus sp. KY212","Species",0
"158","CEN11b","Enterobius vermicularis","Geophilomorpha","Nematoda","Chromadorea","Rhabditida","Oxyuridae","Enterobius","Enterobius vermicularis","Species",0
"159","CEN11b","Entomobryomorpha","Geophilomorpha","Arthropoda","Collembola","Entomobryomorpha","","","","Order",0
"160","CEN11b","Erebidae","Geophilomorpha","Arthropoda","Insecta","Lepidoptera","Erebidae","","","Family",0
"161","CEN11b","Eukaryota","Geophilomorpha","","","","","","","Domain",0
"162","CEN11b","Eukaryota","Geophilomorpha","Arthropoda","Insecta","","","","","Class",0
"163","CEN11b","Eukaryota","Geophilomorpha","Chordata","Mammalia","Rodentia","","","","Order",0
"164","CEN11b","Evaniella semaeoda","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","Evaniidae","Evaniella","Evaniella semaeoda","Species",0
"165","CEN11b","Formicidae","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","Formicidae","","","Family",0
"166","CEN11b","Hasarius adansoni","Geophilomorpha","Arthropoda","Arachnida","Araneae","Salticidae","Hasarius","Hasarius adansoni","Species",0
"167","CEN11b","Hemiptera","Geophilomorpha","Arthropoda","Insecta","Hemiptera","","","","Order",0
"168","CEN11b","Hemiptera sp. BIOUG03439-H02","Geophilomorpha","Arthropoda","Insecta","Hemiptera","","","Hemiptera sp. BIOUG03439-H02","Species",0
"169","CEN11b","Hercostomus unicolor","Geophilomorpha","Arthropoda","Insecta","Diptera","Dolichopodidae","Hercostomus","Hercostomus unicolor","Species",0
"170","CEN11b","Homidia","Geophilomorpha","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Homidia","","Genus",0
"171","CEN11b","Hominidae","Geophilomorpha","Chordata","Mammalia","Primates","Hominidae","","","Family",0
"172","CEN11b","Homo sapiens","Geophilomorpha","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Species",0
"173","CEN11b","Hymenoptera","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","","","","Order",0
"174","CEN11b","Hypoponera","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","Formicidae","Hypoponera","","Genus",0
"175","CEN11b","Hypothenemus sp. H206","Geophilomorpha","Arthropoda","Insecta","Coleoptera","Curculionidae","Hypothenemus","Hypothenemus sp. H206","Species",0
"176","CEN11b","Insecta","Geophilomorpha","Arthropoda","Insecta","","","","","Class",1
"177","CEN11b","Insecta","Geophilomorpha","Arthropoda","Insecta","Coleoptera","","","","Order",0
"178","CEN11b","Insecta","Geophilomorpha","Arthropoda","Insecta","Dermaptera","","","","Order",0
"179","CEN11b","Insecta","Geophilomorpha","Arthropoda","Insecta","Diptera","","","","Order",0
"180","CEN11b","Insecta","Geophilomorpha","Arthropoda","Insecta","Hemiptera","","","","Order",0
"181","CEN11b","Isotomidae sp. DPCOL102537","Geophilomorpha","Arthropoda","Collembola","Entomobryomorpha","Isotomidae","","Isotomidae sp. DPCOL102537","Species",5
"182","CEN11b","Keijia mneon","Geophilomorpha","Arthropoda","Arachnida","Araneae","Theridiidae","Keijia <spiders>","Keijia mneon","Species",0
"183","CEN11b","Lepidopsocidae","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Lepidopsocidae","","","Family",0
"184","CEN11b","Lepidoptera","Geophilomorpha","Arthropoda","Insecta","Lepidoptera","","","","Order",0
"185","CEN11b","Lepidoptera sp. BOLD:AAC1583","Geophilomorpha","Arthropoda","Insecta","Lepidoptera","","","Lepidoptera sp. BOLD:AAC1583","Species",0
"186","CEN11b","Lepidoptera sp. sc","Geophilomorpha","Arthropoda","Insecta","Lepidoptera","","","Lepidoptera sp. sc_03005","Species",0
"187","CEN11b","Lepidoptera sp. sc","Geophilomorpha","Arthropoda","Insecta","Lepidoptera","","","Lepidoptera sp. sc_07152","Species",0
"188","CEN11b","Limoniidae","Geophilomorpha","Arthropoda","Insecta","Diptera","Limoniidae","","","Family",0
"189","CEN11b","Linepithema humile","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema","Linepithema humile","Species",0
"190","CEN11b","Liposcelis bostrychophila","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Liposcelididae","Liposcelis","Liposcelis bostrychophila","Species",0
"191","CEN11b","Liposcelis decolor","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Liposcelididae","Liposcelis","Liposcelis decolor","Species",0
"192","CEN11b","Littorophiloscia bifasciata","Geophilomorpha","Arthropoda","Malacostraca","Isopoda","Philosciidae","Littorophiloscia","Littorophiloscia bifasciata","Species",0
"193","CEN11b","Mus musculus","Geophilomorpha","Chordata","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Species",0
"194","CEN11b","Myopsocidae sp. sc","Geophilomorpha","Arthropoda","Insecta","Psocoptera","Myopsocidae","","Myopsocidae sp. sc_07272","Species",0
"195","CEN11b","Neoscona","Geophilomorpha","Arthropoda","Arachnida","Araneae","Araneidae","Neoscona","","Genus",0
"196","CEN11b","Neoscona theisi","Geophilomorpha","Arthropoda","Arachnida","Araneae","Araneidae","Neoscona","Neoscona theisi","Species",0
"197","CEN11b","Nephus sp. PSRU-COC007","Geophilomorpha","Arthropoda","Insecta","Coleoptera","Coccinellidae","Nephus","Nephus sp. PSRU-COC007","Species",0
"198","CEN11b","Nylanderia sp. CHR01","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","Formicidae","Nylanderia","Nylanderia sp. CHR01","Species",0
"199","CEN11b","Olios sp. 1GAB","Geophilomorpha","Arthropoda","Arachnida","Araneae","Sparassidae","Olios","Olios sp. 1GAB_PAK","Species",0
"200","CEN11b","Oncorhynchus nerka","Geophilomorpha","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka","Species",0
"201","CEN11b","Opopaea sp. CASENT9024170","Geophilomorpha","Arthropoda","Arachnida","Araneae","Oonopidae","Opopaea","Opopaea sp. CASENT9024170","Species",0
"202","CEN11b","Ornebius novarae","Geophilomorpha","Arthropoda","Insecta","Orthoptera","Mogoplistidae","Ornebius","Ornebius novarae","Species",0
"203","CEN11b","Orthoptera","Geophilomorpha","Arthropoda","Insecta","Orthoptera","","","","Order",251
