#OTU ID	PHH043	PHH044	PHH045	PHH046	PHH047	PHH049	PHH050	PHH051	PHH052	PHH053	PHH054	PHH055	PHH056	PHH057	PHH058	PHH059	PHH060	PHH061	PHH062	PHH063	PHH065	PHH066	PHH067	PHH068	PHH069	PHH070	PHH071	PHH072	PHH073	PHH074	PHH075	QC1a	QC1b	QC1c	QC1d	SCY03	SCY04	SCY07	SCY08	SCY09	SCY10	SCY12	SCY15	SCY16	SCY17
Zotu322	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu967	0	0	0	1	0	0	4	3	0	0	0	0	0	1	1	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1190	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu438	0	0	0	11	0	0	26	14	0	0	0	0	0	0	5	0	0	17	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3	0	0	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	4	4	1	6	4	3	1
Zotu581	0	0	0	10	0	0	3	1	0	0	0	0	4	1	0	3	1	6	11	0	9	1	1	0	0	3	0	3	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1029	0	0	0	7	0	4	0	0	7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu819	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	3	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu297	0	0	0	2	0	34	0	20	13	0	0	72	0	7	0	4	0	0	0	0	0	3	1	14	0	0	2	0	7	8	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu580	0	0	0	1	3	0	0	2	2	0	0	0	0	8	0	2	1	12	0	0	0	0	0	0	3	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu390	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu442	0	0	0	0	71	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu232	0	0	0	0	50	0	0	6	0	0	0	0	0	0	0	8	1	0	0	0	0	46	0	1	0	15	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu907	0	0	0	0	4	2	0	2	0	0	0	0	1	2	0	0	1	0	3	1	2	4	1	4	0	0	1	2	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu951	0	0	0	0	8	0	0	0	3	3	0	0	0	0	0	0	7	10	0	0	0	0	0	4	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu755	0	0	0	0	1	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1056	0	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu589	0	0	0	0	7	1	42	36	8	0	41	0	3	5	2	5	3	3	13	3	2	0	0	46	3	2	16	0	9	12	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu803	0	0	0	0	4	0	0	5	1	0	0	0	0	0	0	14	0	0	0	0	0	0	5	0	7	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1103	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu503	0	0	0	0	4	0	4	19	14	0	0	0	0	1	4	13	12	8	0	0	0	0	34	6	14	0	42	6	0	18	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu348	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu74	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu83	0	0	0	0	0	2446	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0
Zotu439	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu147	0	0	0	0	0	92	0	0	0	0	0	0	73	251	0	0	0	0	155	0	0	0	0	0	1	0	88	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1112	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1026	0	0	0	0	0	11	0	14	1	0	0	0	0	3	0	0	10	1	0	0	0	0	1	0	2	0	11	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu590	0	0	0	0	0	4	0	20	0	0	0	0	0	8	0	8	0	0	0	0	0	2	0	0	0	0	0	0	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1084	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu20	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu643	0	0	0	0	0	17	12	1	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu495	0	0	0	0	0	6	0	7	4	0	0	1	0	1	0	0	8	8	0	2	0	0	0	0	5	3	17	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu302	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu467	0	0	0	0	0	5	0	0	7	0	0	0	1	0	0	0	0	2	4	2	0	0	0	3	35	4	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
